index,make,fuel-type,num-of-doors,body-style,num-of-cylinders,fuel-system,horsepower,city-mpg
134,subaru,gas,two,hatchback,four,2bbl,69.0,31
180,volkswagen,diesel,four,sedan,four,idi,52.0,37
158,toyota,gas,four,sedan,four,2bbl,70.0,28
189,volkswagen,gas,four,wagon,four,mpfi,88.0,25
89,nissan,gas,four,sedan,four,2bbl,69.0,31
48,mazda,gas,two,hatchback,four,2bbl,68.0,31
116,plymouth,gas,two,hatchback,four,spdi,102.0,24
12,bmw,gas,four,sedan,six,mpfi,121.0,21
69,mercedes-benz,gas,two,convertible,eight,mpfi,155.0,16
110,peugot,gas,four,wagon,four,mpfi,95.0,19
154,toyota,diesel,four,sedan,four,idi,56.0,34
16,bmw,gas,four,sedan,six,mpfi,182.0,15
19,chevrolet,gas,four,sedan,four,2bbl,70.0,38
2,alfa-romero,gas,two,hatchback,six,mpfi,154.0,19
143,subaru,gas,four,wagon,four,mpfi,94.0,25
185,volkswagen,gas,two,convertible,four,mpfi,90.0,24
29,honda,gas,two,hatchback,four,1bbl,58.0,49
155,toyota,diesel,four,hatchback,four,idi,56.0,38
24,dodge,gas,four,sedan,four,2bbl,68.0,31
77,mitsubishi,gas,two,hatchback,four,spdi,116.0,23
127,renault,gas,two,hatchback,four,mpfi,103.39698492462311,23
5,audi,gas,two,sedan,five,mpfi,110.0,19
118,plymouth,gas,four,sedan,four,2bbl,68.0,31
113,peugot,diesel,four,sedan,four,idi,95.0,28
25,dodge,gas,four,sedan,four,2bbl,68.0,31
163,toyota,gas,two,hardtop,four,mpfi,116.0,24
37,honda,gas,two,hatchback,four,1bbl,86.0,27
91,nissan,gas,two,sedan,four,2bbl,69.0,31
28,dodge,gas,two,hatchback,four,mfi,145.0,19
92,nissan,gas,two,hatchback,four,2bbl,69.0,31
186,volkswagen,gas,two,hatchback,four,mpfi,90.0,24
148,toyota,gas,four,hatchback,four,2bbl,62.0,31
82,mitsubishi,gas,four,sedan,four,2bbl,88.0,25
76,mitsubishi,gas,two,hatchback,four,spdi,102.0,24
101,nissan,gas,two,hatchback,six,mpfi,160.0,19
41,honda,gas,two,sedan,four,2bbl,100.0,25
157,toyota,gas,four,hatchback,four,2bbl,70.0,28
140,subaru,gas,four,sedan,four,2bbl,82.0,24
105,peugot,diesel,four,sedan,four,idi,95.0,28
20,dodge,gas,two,hatchback,four,2bbl,68.0,37
74,mitsubishi,gas,two,hatchback,four,2bbl,68.0,31
120,plymouth,gas,four,wagon,four,2bbl,88.0,24
65,mercedes-benz,diesel,four,wagon,five,idi,123.0,22
170,toyota,diesel,four,sedan,four,idi,73.0,30
35,honda,gas,four,wagon,four,1bbl,76.0,30
130,saab,gas,two,hatchback,four,mpfi,110.0,21
168,toyota,gas,two,convertible,four,mpfi,116.0,24
42,isuzu,gas,four,sedan,four,2bbl,78.0,24
46,jaguar,gas,two,sedan,twelve,mpfi,262.0,13
173,toyota,gas,four,hatchback,four,mpfi,92.0,27
64,mercedes-benz,diesel,four,sedan,five,idi,123.0,22
93,nissan,gas,four,sedan,four,2bbl,69.0,31
182,volkswagen,gas,four,sedan,four,mpfi,85.0,27
121,plymouth,gas,two,hatchback,four,spdi,145.0,19
144,subaru,gas,four,wagon,four,2bbl,82.0,23
63,mazda,diesel,four,sedan,four,idi,72.0,31
7,audi,gas,four,wagon,five,mpfi,110.0,19
10,bmw,gas,four,sedan,four,mpfi,101.0,23
176,toyota,gas,four,sedan,six,mpfi,156.0,20
13,bmw,gas,four,sedan,six,mpfi,121.0,20
15,bmw,gas,two,sedan,six,mpfi,182.0,16
86,nissan,gas,two,sedan,four,2bbl,69.0,31
43,isuzu,gas,two,hatchback,four,spfi,90.0,24
60,mazda,diesel,two,sedan,four,idi,64.0,36
